wikipron_id,phoible_id
acw,2607
afb,2607
afr,1395
alb,169
ale,61
ang,-1
ara,2157
arc,-1
ary,133
asm,2159
ayl,1098
aze_latn,187
ban,1693
baq,2161
ben,2624
bre,157
bul,2163
bur,2164
cat,2425
ceb,1692
cho,-1
cmn_hani,1047
cop,-1
crx,-1
cze,1140
dan,2265
dlm,-1
dsb,2602
dum,-1
dut,1050
dzo,-1
egy,-1
eng_uk,2180
eng_us,2175
enm,-1
epo,-1
est,-1
fao,2378
fin,180
fre,2182
fro,-1
fry,2470
geo,2183
ger,2184
gla,2601
gle,2193
glg,1141
glv,-1
gml,-1
goh,-1
got,-1
grc,-1
gre,2187
gsw,-1
haw,43
hbs_cyrl,1139
hbs_latn,1139
heb,2189
hin,2190
hrx,-1
hts,-1
ice,2568
ido,-1
ina,-1
ind,1690
ita,1145
kaz,-1
khm,2597
kik,748
kld,-1
kur,2250
kxd,-1
lao,-1
lat,-1
lij,2325
lit,-1
liv,-1
ltz,2200
mac,-1
mah,-1
may_latn,2223
mfe,-1
mic,-1
mlg,-1
mlt_latn,2275
mon,191
mww,-1
nap,-1
nav,-1
nci,-1
nds,-1
nhx,-1
nno,2441
nob,159
non,-1
nor,2441
nya,-1
oci,-1
ori,-1
osx,-1
pan,-1
pcc,-1
per,2205
pms,-1
pol,1046
por_bz,2207
por_po,2206
ppl,-1
pus,-1
rum,165
ryu,-1
sah,-1
san,1782
sce,-1
scn,-1
sco,2505
sga,-1
slo,2209
slv,1149
sme,-1
spa_ca,2308
spa_la,164
srd,-1
srn,-1
swe,1150
syl,-1
tam,1058
tel,8
tgk,-1
tgl,37
tha,2215
tib,1067
ton,-1
tpw,-1
tur,2217
twf,-1
uig,-1
ukr,1035
urd,2466
vol,-1
wau,-1
wel_nw,2406
wel_sw,2406
wlm,-1
yid,-1
zha,-1
zul,147
